fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210924 133603	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.0489458735106746	0.500643233454321	756	625	0.041727889107911	8267500
20210924 133730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0235476140631363	0.850381667399779	5924	364	0.0429681127121257	8137500
20210924 133817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0803771025953756	0.774558181397151	3718	810	0.0483913898137882	8178750
20210924 133928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0588640832569217	0.245012474630494	2110	414	0.0443020530691194	8177500
20210924 134419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	771	TRUE	0.0175872203853214	0.633569616067689	6392	106	0.0471615255929064	8277500
20210924 134507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.0842872250742221	0.844077125587501	4614	1015	0.0434006205710928	8318750
20210924 134658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.043589712020912	0.922317121969536	1056	697	0.0438015591457276	8085000
20210924 134746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0729958146404533	0.44071992719546	7255	205	0.0458454941486414	7787500
20210924 134910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0706190187968605	0.723645089159254	1734	499	0.0431143834814461	8337500
20210924 135010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0972305174502253	0.582415404543281	7620	710	0.048736036162511	8267500
20210924 135219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0332182535140601	0.37325063428143	3350	78	0.0455749622483703	8457500
20210924 135506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	367	TRUE	0.0316483052463445	0.655065434437711	4348	870	0.0437216232660702	8583750
20210924 135604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0514914567049709	0.290144669404253	6547	915	0.0478556356224109	8276250
20210924 135659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.0916786896261328	0.31043861748185	2818	192	0.0438882441668032	8512500
20210924 140631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0152840319270035	0.458381496486254	296	561	0.0338714839446605	8020000
20210924 140738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0611287882368197	0.983914720569737	5459	306	0.0440236628088416	8297500
20210924 140903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.0809130648221378	0.747487703659758	845	583	0.0396637591113271	7627500
20210924 140957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.0979873594532628	0.764999379476346	3162	871	0.0459176321942945	8450000
20210924 141109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0413487116574077	0.498879403591715	6345	231	0.0465197470727212	7960000
20210924 141210	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0745948143947427	0.976996755676158	7863	578	0.049678395117733	8253750
20210924 141402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0361920197481266	0.793787574050389	5847	885	0.0443333553185451	8176250
20210924 141507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0389381296316534	0.215490434064344	7660	285	0.046864541223674	8155000
20210924 141554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0996320890277508	0.697664404480159	3709	312	0.0442690297560601	8275000
20210924 141702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.087625183512005	0.325652687000856	4404	714	0.0473579065252432	8341250
20210924 141815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.0807690435527358	0.541668997702934	2244	920	0.0453497386258494	8500000
