Feature	Gain	Cover	Frequency
ctrx_quarter	0.16124811396755	0.0212299004071054	0.022289384208538
cpayroll_trx	0.0809353911079459	0.0184335039816132	0.00667422239012719
mtarjeta_visa_consumo	0.0798023176480805	0.0179211627543038	0.0163707341644629
mcuentas_saldo	0.0560421030156097	0.0248119371546227	0.033685933761491
mpayroll	0.0320677715863824	0.0249721808187667	0.01120765646644
ctarjeta_visa_transacciones	0.0312238469904585	0.0132745231183941	0.0172522352348571
mcaja_ahorro	0.030703367534145	0.0191551976061679	0.0228560634680771
mprestamos_personales	0.0237130016307783	0.0221579296844981	0.00906686815262561
mrentabilidad_annual	0.022929618640213	0.0230616068621848	0.0292154640473492
mactivos_margen	0.0215420676082999	0.0205204132069469	0.0233597783654452
cliente_edad	0.0163244673298104	0.0289354429357481	0.033874826848004
Master_fechaalta	0.0152895592099624	0.0150039308731893	0.0266339251983377
Visa_mpagominimo	0.0150658956634769	0.0242283220616188	0.0300340007555724
mcuenta_corriente	0.0147670206731799	0.0207580097874151	0.0228560634680771
chomebanking_transacciones	0.0140616384787883	0.018379567076799	0.0263820677496537
Visa_status	0.0137935796973068	0.0157157016867344	0.00421861226545775
Visa_fechaalta	0.013750204854086	0.0184270300619215	0.0264450321118247
Visa_Fvencimiento	0.0133336758304084	0.0209165317672223	0.0259413172144566
Master_Fvencimiento	0.013279696101461	0.0135046986456862	0.0272006044578768
mtransferencias_recibidas	0.0120908771049409	0.0190442269737909	0.0200226671703816
numero_de_cliente	0.0119794186515748	0.0183069732991349	0.0241783150736683
cproductos	0.0103699460660793	0.0100737283082736	0.0100113335851908
mpasivos_margen	0.0101967252122607	0.0128932508064541	0.0194559879108425
mrentabilidad	0.00997152479698822	0.0122709136934733	0.0175670570457121
Visa_mconsumospesos	0.00990049541181289	0.0165817986511375	0.0192670948243294
Master_mfinanciacion_limite	0.00969938758162697	0.0129872503531306	0.0200226671703816
Visa_mpagospesos	0.00954543091537933	0.0195533043183639	0.0207152751542627
cliente_antiguedad	0.00953614997779447	0.013455370387477	0.0211560256894598
cmobile_app_trx	0.00912034074918726	0.0150167157945679	0.0181337363052512
Visa_msaldototal	0.00898983149433979	0.0109823841497283	0.0139151240397935
mcaja_ahorro_dolares	0.00892489914069493	0.0111956631470169	0.0178189144943962
mcomisiones_otras	0.00770424851427701	0.00859258135994333	0.0144188389371616
mtransferencias_emitidas	0.00751083280024462	0.0197718836734465	0.0205263820677497
Visa_cconsumos	0.00748748839336958	0.0135736240069245	0.0156781261805818
mautoservicio	0.00732881269365342	0.0107344919797655	0.0144818032993326
Visa_mfinanciacion_limite	0.00724450968591197	0.00795755182987453	0.0142929102128195
ccomisiones_mantenimiento	0.00712829444576646	0.0108281877810097	0.0044704697141418
mcomisiones	0.0068831796619142	0.00711647934711168	0.0135373378667674
Visa_mconsumosdolares	0.00682785281918095	0.00711462788063556	0.0125299080720312
Visa_msaldopesos	0.00667913313280604	0.00570600291559442	0.00994836922301977
mcuenta_debitos_automaticos	0.00628080961822481	0.0134546289724899	0.00812240272006045
mcomisiones_mantenimiento	0.00627031322523249	0.0109317635927707	0.00938168996348067
Master_status	0.00616188898355762	0.00704031379929568	0.00182596650295933
ccallcenter_transacciones	0.00616071780719518	0.00610651750067208	0.0028333962976955
Master_mlimitecompra	0.00613146736851239	0.00931458149125248	0.0122780506233472
ccomisiones_otras	0.0051480255165818	0.00560652214452554	0.00868908197959955
thomebanking	0.00499734582545504	0.00348680150919563	0.00358896864374764
Visa_mlimitecompra	0.00473039407941298	0.00754742784384702	0.00944465432565168
ctarjeta_debito_transacciones	0.00464668804174	0.0113646450149844	0.0118373000881501
mttarjeta_visa_debitos_automaticos	0.00463948431608478	0.0082887931271278	0.00975947613650674
ctransferencias_recibidas	0.00452659085816552	0.00694487974578197	0.00938168996348067
Master_msaldopesos	0.0044628450600397	0.00873109065774357	0.00648532930361415
mpagomiscuentas	0.00357786270040312	0.0116978137150719	0.00818536708223146
ctransferencias_emitidas	0.00355761556681353	0.0126923273449558	0.0119632288124921
Master_mpagospesos	0.00348358209877003	0.00783650927509389	0.00680015111446921
Visa_fultimo_cierre	0.0032724034095411	0.0136156692780633	0.00642236494144314
tcallcenter	0.00316740663927309	0.00348935159016609	0.0017000377786173
Visa_mconsumototal	0.00315903202793979	0.00555589054227944	0.00661125802795618
ctarjeta_master	0.00309911636320904	0.00032709241077996	0.000566679259539101
mtarjeta_master_consumo	0.00309175812776165	0.00420216204148642	0.0028333962976955
mplazo_fijo_dolares	0.00297376317287867	0.0138837991777851	0.00340007555723461
ccaja_ahorro	0.00288175550169093	0.0107704871941568	0.00321118247072157
Master_msaldototal	0.00281921992380288	0.00443185433740891	0.00528900642236494
cprestamos_personales	0.00279567341278107	0.00826807630798233	0.00314821810855056
ctarjeta_debito	0.00267176358076702	0.00328783030243048	0.00535197078453595
ctarjeta_visa_debitos_automaticos	0.00266276011449246	0.00916075099771366	0.00591865004407505
Master_mconsumospesos	0.00234332186474681	0.00699484310807696	0.00572975695756202
Visa_mpagosdolares	0.00231630006566632	0.00944355318247779	0.00440750535197078
ccuenta_debitos_automaticos	0.00225164610672111	0.00556980346374088	0.00402971917894472
Master_fultimo_cierre	0.00222848874802698	0.00387657040927434	0.0044704697141418
ccaja_seguridad	0.00187691337204889	0.00841704135195976	0.00251857448684045
matm	0.00173455132501788	0.0049052250257513	0.00415564790328674
mdescubierto_preacordado	0.00172058492551102	0.0127590105126391	0.00321118247072157
Master_cconsumos	0.0016498565990052	0.00623078804100166	0.00346303991940562
ccajas_extracciones	0.00163474097067534	0.00156151937038399	0.00182596650295933
ctarjeta_visa	0.00155420341003159	0.000213697337588584	0.000251857448684045
mextraccion_autoservicio	0.00142491068808506	0.00474535552075348	0.00371489736808966
Visa_mpagado	0.00129118819233859	0.00824619421090559	0.00258153884901146
cextraccion_autoservicio	0.00127142236165177	0.00218001686496809	0.00302228938420854
ccajas_consultas	0.00111219915298771	0.00929231971238533	0.00214078831381438
cpagomiscuentas	0.0010775134577941	0.00239166668221061	0.00327414683289258
tmobile_app	0.00102373991199973	0.00108457138924547	0.00220375267598539
ccajas_otras	0.000923540138924805	0.011697987678365	0.0022667170381564
catm_trx	0.000904476764685104	0.00182781161024032	0.00201485958947236
ctarjeta_master_transacciones	0.000874290803470147	0.0010926151205578	0.000818536708223146
mforex_sell	0.000785484272093448	0.00470476960835093	0.00239264576249843
Master_mconsumototal	0.000696403953588022	0.00217564293074264	0.00163707341644629
tpaquete4	0.000664115425838698	0.00557802530032944	0.0011333585190782
Master_mpagosdolares	0.000648801602266407	0.000509161564897406	0.000944465432565168
mttarjeta_master_debitos_automaticos	0.000637347479982269	0.00539800504721911	0.00182596650295933
Visa_msaldodolares	0.000610887678466048	0.00276187161512562	0.00144818032993326
internet	0.000607815345220663	0.00044566634359244	0.00100742979473618
matm_other	0.000605406030432573	0.0030034099829087	0.0022667170381564
cseguro_vida	0.000572884490651776	0.00444340080582034	0.00125928724342022
active_quarter	0.000522569076201549	0.00194888592022524	0.00138521596776225
cplazo_fijo	0.000336809430089726	0.00236368758591051	0.000566679259539101
cinversion2	0.000298704485439325	0.00129977640870722	0.000251857448684045
cforex	0.000215241029546041	0.000178726573700839	0.000440750535197078
Master_mconsumosdolares	0.000189411652250742	0.000320289893756986	0.00050371489736809
minversion2	0.000149822835425906	0.000649888204353609	0.000125928724342022
Master_msaldodolares	0.000119486870826452	0.000145150277479667	0.000188893086513034
tcuentas	0.000118817986092931	0.00389932922612165	0.000755572346052135
cseguro_vivienda	9.46679431997856e-05	0.000490000750762062	0.000377786173026067
cforex_sell	9.37210959273535e-05	0.000182343905667593	0.000377786173026067
Master_mpagado	9.31617324573556e-05	0.000167401011058367	0.000188893086513034
Master_delinquency	8.77195876882806e-05	4.38884536485306e-05	0.000125928724342022
catm_trx_other	6.61299591718904e-05	0.000550319070977144	0.000314821810855056
mcaja_ahorro_adicional	6.36424778323128e-05	0.000694589867364131	0.000188893086513034
ccajas_depositos	5.88950704407448e-05	0.00129977640870722	0.000251857448684045
cseguro_accidentes_personales	3.94841593499577e-05	0.000393540866083738	0.000314821810855056
